crime_id,date,district,crime_type,latitude,longitude,location,suspect_id,victim_id,police_station,status,arrested,repeat_offender,population_density,unemployment_rate,risk_zone,risk_score
CR-000017,2023-06-10,Koppal,Theft,15.575127,76.317453,Koppal Zone 5,SUS-00395,VIC-00629,Koppal Rural PS,Closed,0,0,234.92,6.59,Low Risk,0.2314
CR-000018,2023-02-15,Mangaluru,Domestic Violence,12.952511,74.716433,Mangaluru Zone 3,SUS-00086,VIC-00936,Mangaluru Women PS,Arrested,1,0,1235.44,5.73,Medium Risk,0.4572
CR-000019,2023-04-29,Mandya,Drug Offense,12.501642,76.907305,Mandya Zone 2,SUS-00592,VIC-00320,Mandya Central PS,Closed,0,0,431.84,5.06,Low Risk,0.264
CR-000020,2024-01-03,Hubballi,Cybercrime,15.502888,75.001291,Hubballi Zone 2,SUS-00133,VIC-00357,Hubballi Traffic PS,Closed,0,0,748.74,5.41,Low Risk,0.2948
CR-000021,2024-02-29,Uttara Kannada,Burglary,14.887793,74.722027,Uttara Kannada Zone 4,SUS-00684,VIC-00760,Uttara Kannada Central PS,Closed,0,1,209.87,5.36,Medium Risk,0.5923
CR-000022,2023-06-28,Shivamogga,Drug Offense,13.992488,75.552848,Shivamogga Zone 3,SUS-00029,VIC-01124,Shivamogga Traffic PS,Active,0,0,351.67,4.96,Low Risk,0.3237
CR-000023,2024-12-07,Hubballi,Burglary,15.485598,75.175003,Hubballi Zone 1,SUS-00136,VIC-00115,Hubballi Cyber Crime Cell,Closed,0,0,849.06,6.1,Low Risk,0.2979
CR-000024,2024-05-13,Mandya,Theft,12.570501,76.711797,Mandya Zone 2,SUS-00104,VIC-00720,Mandya North PS,Closed,0,0,392.65,5.37,Low Risk,0.3538
CR-000025,2023-04-14,Chamarajanagar,Theft,12.044176,76.973169,Chamarajanagar Zone 4,SUS-00629,VIC-01079,Chamarajanagar Rural PS,Closed,0,0,195.12,5.8,Low Risk,0.3286
CR-000026,2023-11-18,Bagalkot,Assault,16.157298,75.649298,Bagalkot Zone 1,SUS-00637,VIC-00876,Bagalkot North PS,Closed,0,1,268.3,6.52,Medium Risk,0.5593
CR-000027,2024-11-19,Kodagu,Burglary,12.491951,75.739114,Kodagu Zone 2,SUS-00289,VIC-01021,Kodagu Rural PS,Active,0,0,206.28,4.49,Low Risk,0.3442
CR-000028,2024-06-02,Mandya,Theft,12.485184,76.90373,Mandya Zone 2,SUS-00383,VIC-00531,Mandya Central PS,Closed,0,0,384.66,5.43,Low Risk,0.2545
CR-000029,2024-11-20,Hassan,Burglary,12.894179,75.911392,Hassan Zone 4,SUS-00591,VIC-01199,Hassan Central PS,Active,0,1,322.99,4.78,Medium Risk,0.5884
CR-000030,2023-03-21,Chikkamagaluru,Robbery,13.334437,75.814405,Chikkamagaluru Zone 1,SUS-00499,VIC-01093,Chikkamagaluru South PS,Active,0,1,202.89,4.55,Medium Risk,0.5611
CR-000031,2023-01-05,Chikkamagaluru,Theft,13.382462,75.612555,Chikkamagaluru Zone 4,SUS-00005,VIC-00962,Chikkamagaluru Special Task Force,Active,0,0,239.9,4.64,Low Risk,0.331
CR-000032,2024-09-07,Chamarajanagar,Drug Offense,12.032315,76.938169,Chamarajanagar Zone 1,SUS-00677,VIC-01022,Chamarajanagar West PS,Closed,0,1,177.5,5.5,Medium Risk,0.5829
CR-000033,2023-06-20,Hubballi,Drug Offense,15.336059,75.188287,Hubballi Zone 1,SUS-00043,VIC-00051,Hubballi South PS,Closed,0,0,892.37,5.72,Low Risk,0.2493
CR-000034,2023-06-02,Ramanagara,Drug Offense,12.6755,77.238488,Ramanagara Zone 5,SUS-00330,VIC-00687,Ramanagara West PS,Closed,0,0,457.6,4.96,Low Risk,0.3423
CR-000035,2023-09-23,Hubballi,Burglary,15.246551,75.209378,Hubballi Zone 4,SUS-00434,VIC-00485,Hubballi Special Task Force,Closed,0,0,814.92,6.09,Low Risk,0.2744
CR-000036,2023-04-29,Dharwad,Theft,15.471715,75.093899,Dharwad Zone 1,SUS-00779,VIC-00491,Dharwad Rural PS,Closed,0,0,401.13,5.62,Low Risk,0.3294
CR-000037,2023-10-07,Kalaburagi,Fraud,17.293006,76.810845,Kalaburagi Zone 3,SUS-00482,VIC-00843,Kalaburagi Cyber Crime Cell,Closed,0,1,416.74,5.86,Medium Risk,0.5754
CR-000038,2023-10-06,Chikkamagaluru,Robbery,13.288959,75.857108,Chikkamagaluru Zone 5,SUS-00494,VIC-00885,Chikkamagaluru Cyber Crime Cell,Closed,0,0,215.47,5.02,Low Risk,0.2435
CR-000039,2024-03-20,Ramanagara,Burglary,12.710267,77.218841,Ramanagara Zone 1,SUS-00681,VIC-00087,Ramanagara Rural PS,Active,0,0,377.73,5.34,Low Risk,0.2908
CR-000040,2023-09-05,Koppal,Theft,15.386317,76.125306,Koppal Zone 4,SUS-00063,VIC-01028,Koppal West PS,Arrested,1,0,217.16,7.03,Low Risk,0.237
CR-000041,2024-06-13,Davangere,Theft,14.3442,75.684638,Davangere Zone 4,SUS-00192,VIC-00826,Davangere North PS,Closed,0,0,409.51,6.26,Low Risk,0.3775
CR-000042,2024-07-19,Haveri,Cybercrime,14.788212,75.462264,Haveri Zone 5,SUS-00741,VIC-01187,Haveri Special Task Force,Arrested,1,0,272.03,5.22,Low Risk,0.2145
CR-000043,2025-05-23,Kodagu,Domestic Violence,12.409092,75.850506,Kodagu Zone 3,SUS-00642,VIC-00564,Kodagu Special Task Force,Closed,0,0,174.2,3.94,Low Risk,0.2858
CR-000044,2025-03-11,Hubballi,Theft,15.400887,74.998739,Hubballi Zone 1,SUS-00196,VIC-00101,Hubballi South PS,Closed,0,0,731.34,5.59,Low Risk,0.3407
CR-000045,2024-07-16,Ballari,Domestic Violence,15.125062,76.90113,Ballari Zone 5,SUS-00684,VIC-00407,Ballari Special Task Force,Closed,0,1,409.97,5.93,Medium Risk,0.5358
CR-000046,2024-11-08,Koppal,Cybercrime,15.512806,76.143032,Koppal Zone 3,SUS-00426,VIC-00599,Koppal Rural PS,Closed,0,0,258.26,6.82,Medium Risk,0.4003
CR-000047,2023-12-18,Chitradurga,Theft,14.251844,76.402091,Chitradurga Zone 4,SUS-00018,VIC-01113,Chitradurga Women PS,Active,0,0,234.85,5.61,Low Risk,0.2294
CR-000048,2024-06-11,Vijayapura,Assault,16.824762,75.730963,Vijayapura Zone 5,SUS-00114,VIC-00574,Vijayapura Special Task Force,Closed,0,1,339.49,6.26,High Risk,0.6647
CR-000049,2024-09-27,Bagalkot,Burglary,16.076592,75.637998,Bagalkot Zone 4,SUS-00413,VIC-00664,Bagalkot Special Task Force,Closed,0,0,333.01,5.54,Low Risk,0.3417
CR-000050,2025-05-18,Chikkamagaluru,Burglary,13.336023,75.917704,Chikkamagaluru Zone 3,SUS-00086,VIC-00933,Chikkamagaluru Special Task Force,Active,0,0,236.5,4.75,Low Risk,0.189
CR-000051,2024-02-15,Udupi,Kidnapping,13.198903,74.783333,Udupi Zone 2,SUS-00688,VIC-01110,Udupi West PS,Arrested,1,0,489.65,4.22,Low Risk,0.2755
CR-000052,2023-11-25,Yadgir,Theft,16.813043,77.057255,Yadgir Zone 4,SUS-00045,VIC-00888,Yadgir East PS,Arrested,1,0,252.62,7.3,Low Risk,0.3997
CR-000053,2023-07-26,Chikkaballapur,Theft,13.551594,77.696248,Chikkaballapur Zone 4,SUS-00727,VIC-00482,Chikkaballapur Women PS,Active,0,0,297.97,5.32,Low Risk,0.3214
CR-000054,2023-07-29,Ramanagara,Murder,12.530878,77.410075,Ramanagara Zone 1,SUS-00204,VIC-00330,Ramanagara Cyber Crime Cell,Closed,0,0,442.4,4.8,Low Risk,0.2975
CR-000055,2023-03-16,Ramanagara,Theft,12.765861,77.161648,Ramanagara Zone 3,SUS-00544,VIC-00165,Ramanagara North PS,Closed,0,0,436.89,5.5,Low Risk,0.2602
CR-000056,2024-09-10,Kodagu,Kidnapping,12.285946,75.751351,Kodagu Zone 1,SUS-00685,VIC-00081,Kodagu East PS,Closed,0,0,202.43,4.3,Low Risk,0.1747
CR-000057,2024-02-04,Kalaburagi,Theft,17.343892,76.931302,Kalaburagi Zone 5,SUS-00242,VIC-00342,Kalaburagi East PS,Closed,0,0,409.97,6.77,Low Risk,0.3893
CR-000058,2023-10-14,Ramanagara,Assault,12.762465,77.239383,Ramanagara Zone 5,SUS-00449,VIC-00290,Ramanagara South PS,Closed,0,0,429.08,5.09,Low Risk,0.3184
CR-000059,2025-02-10,Hassan,Theft,13.038008,76.129815,Hassan Zone 5,SUS-00278,VIC-01194,Hassan Cyber Crime Cell,Closed,0,1,315.4,5.28,Medium Risk,0.5238
CR-000060,2025-03-07,Chikkamagaluru,Domestic Violence,13.281267,75.733672,Chikkamagaluru Zone 4,SUS-00538,VIC-00616,Chikkamagaluru Special Task Force,Arrested,1,0,224.1,4.51,Low Risk,0.2865
CR-000061,2025-04-26,Vijayapura,Theft,16.764064,75.647407,Vijayapura Zone 4,SUS-00751,VIC-00376,Vijayapura Central PS,Closed,0,0,295.62,5.57,Low Risk,0.2848
CR-000062,2023-12-06,Bengaluru Rural,Theft,13.309634,77.496923,Bengaluru Rural Zone 1,SUS-00509,VIC-00002,Bengaluru Rural South PS,Closed,0,0,474.3,4.9,Low Risk,0.2635
CR-000063,2023-01-02,Mangaluru,Domestic Violence,12.897245,74.758729,Mangaluru Zone 3,SUS-00131,VIC-00313,Mangaluru South PS,Arrested,1,0,1063.92,5.23,Low Risk,0.3904
CR-000064,2024-02-28,Hassan,Assault,12.933369,76.213094,Hassan Zone 5,SUS-00732,VIC-00854,Hassan North PS,Closed,0,0,275.27,5.43,Low Risk,0.1978
CR-000065,2023-05-02,Hubballi,Theft,15.386951,75.13665,Hubballi Zone 3,SUS-00256,VIC-00290,Hubballi Central PS,Closed,0,0,707.07,5.08,Low Risk,0.2279
CR-000066,2025-01-19,Kodagu,Robbery,12.432323,75.812667,Kodagu Zone 2,SUS-00550,VIC-00306,Kodagu South PS,Arrested,1,1,186.43,4.01,Medium Risk,0.5423
CR-000067,2024-06-16,Chamarajanagar,Cybercrime,12.068913,77.034584,Chamarajanagar Zone 2,SUS-00775,VIC-00260,Chamarajanagar Cyber Crime Cell,Closed,0,0,218.79,5.3,Low Risk,0.3401
CR-000068,2023-03-10,Raichur,Assault,16.234863,77.203611,Raichur Zone 2,SUS-00659,VIC-00887,Raichur Rural PS,Arrested,1,0,239.6,6.35,Low Risk,0.3593
CR-000069,2024-06-07,Hassan,Burglary,13.008164,76.112424,Hassan Zone 2,SUS-00119,VIC-00005,Hassan Special Task Force,Arrested,1,0,306.8,4.67,Low Risk,0.2679
CR-000070,2024-05-30,Bengaluru Urban,Kidnapping,12.972516,77.614503,Bengaluru Urban Zone 4,SUS-00463,VIC-00061,Bengaluru Urban West PS,Closed,0,0,4879.82,4.23,Medium Risk,0.5819
CR-000071,2024-08-08,Kolar,Assault,12.993063,78.119185,Kolar Zone 4,SUS-00275,VIC-00733,Kolar North PS,Closed,0,0,483.5,5.11,Low Risk,0.3667
CR-000072,2024-08-20,Kodagu,Cybercrime,12.527386,75.826198,Kodagu Zone 5,SUS-00602,VIC-00015,Kodagu Central PS,Closed,0,0,193.95,4.72,Low Risk,0.2442
CR-000073,2023-12-26,Chikkaballapur,Fraud,13.385255,77.756416,Chikkaballapur Zone 2,SUS-00343,VIC-00215,Chikkaballapur Women PS,Arrested,1,1,338.98,5.49,Medium Risk,0.4741
CR-000074,2025-03-15,Kalaburagi,Domestic Violence,17.236734,76.664968,Kalaburagi Zone 1,SUS-00787,VIC-00891,Kalaburagi Women PS,Closed,0,0,449.42,6.67,Low Risk,0.3142
CR-000075,2024-05-17,Gadag,Drug Offense,15.341378,75.596515,Gadag Zone 3,SUS-00760,VIC-00893,Gadag West PS,Active,0,1,277.42,6.25,Medium Risk,0.4838
CR-000076,2023-11-29,Bengaluru Urban,Kidnapping,13.111895,77.587136,Bengaluru Urban Zone 2,SUS-00791,VIC-00491,Bengaluru Urban Central PS,Closed,0,0,4241.54,4.05,Medium Risk,0.531
CR-000077,2024-02-17,Kolar,Burglary,13.208688,78.131487,Kolar Zone 1,SUS-00404,VIC-00408,Kolar Central PS,Closed,0,0,455.07,5.0,Low Risk,0.2192
CR-000078,2023-03-29,Uttara Kannada,Assault,14.788927,74.693618,Uttara Kannada Zone 1,SUS-00159,VIC-00563,Uttara Kannada West PS,Closed,0,0,177.35,4.89,Low Risk,0.2018
CR-000079,2024-02-29,Shivamogga,Theft,13.987843,75.57314,Shivamogga Zone 2,SUS-00007,VIC-00918,Shivamogga East PS,Closed,0,0,339.54,4.98,Low Risk,0.2287
CR-000080,2025-05-18,Ramanagara,Burglary,12.635012,77.187442,Ramanagara Zone 3,SUS-00085,VIC-00117,Ramanagara Rural PS,Closed,0,0,348.62,4.64,Low Risk,0.2291
CR-000081,2024-04-23,Koppal,Robbery,15.317329,76.153086,Koppal Zone 4,SUS-00323,VIC-00356,Koppal Rural PS,Arrested,1,0,206.56,7.17,Low Risk,0.3547
CR-000082,2024-11-01,Davangere,Cybercrime,14.452605,76.048862,Davangere Zone 2,SUS-00089,VIC-00318,Davangere North PS,Active,0,0,407.69,5.27,Low Risk,0.371
CR-000083,2023-12-31,Koppal,Theft,15.394447,76.100227,Koppal Zone 3,SUS-00521,VIC-00638,Koppal Traffic PS,Closed,0,0,244.51,7.17,Medium Risk,0.4153
CR-000084,2023-05-23,Ballari,Assault,15.07004,76.930938,Ballari Zone 2,SUS-00237,VIC-00644,Ballari Rural PS,Closed,0,0,411.62,6.52,Low Risk,0.3294
CR-000085,2023-04-21,Vijayapura,Theft,16.866066,75.803225,Vijayapura Zone 1,SUS-00288,VIC-00304,Vijayapura Rural PS,Active,0,0,363.51,5.69,Low Risk,0.3129
CR-000086,2025-03-19,Bengaluru Urban,Theft,13.042512,77.633861,Bengaluru Urban Zone 5,SUS-00126,VIC-01187,Bengaluru Urban North PS,Active,0,0,4334.03,4.12,Medium Risk,0.5239
CR-000087,2024-02-18,Yadgir,Drug Offense,16.806141,77.178202,Yadgir Zone 4,SUS-00297,VIC-00748,Yadgir Central PS,Arrested,1,1,228.58,6.37,Medium Risk,0.5328
CR-000088,2023-07-06,Bagalkot,Drug Offense,16.179582,75.581312,Bagalkot Zone 5,SUS-00662,VIC-00075,Bagalkot East PS,Closed,0,0,312.51,5.4,Low Risk,0.3883
CR-000089,2023-05-15,Dharwad,Theft,15.450405,75.02565,Dharwad Zone 2,SUS-00348,VIC-00792,Dharwad Women PS,Closed,0,0,461.89,5.3,Low Risk,0.3417
CR-000090,2025-04-17,Kolar,Cybercrime,13.013543,78.147359,Kolar Zone 2,SUS-00492,VIC-01071,Kolar Traffic PS,Closed,0,0,495.11,5.77,Low Risk,0.2215
CR-000091,2024-04-13,Bagalkot,Kidnapping,16.130477,75.731144,Bagalkot Zone 5,SUS-00363,VIC-00675,Bagalkot North PS,Closed,0,0,340.28,5.84,Low Risk,0.3529
CR-000092,2025-03-11,Gadag,Fraud,15.4975,75.622157,Gadag Zone 5,SUS-00581,VIC-00111,Gadag East PS,Active,0,0,238.18,5.79,Low Risk,0.2849
CR-000093,2024-08-07,Chikkamagaluru,Robbery,13.346407,75.673215,Chikkamagaluru Zone 5,SUS-00587,VIC-00802,Chikkamagaluru North PS,Active,0,1,200.06,5.17,Medium Risk,0.5971
CR-000094,2023-05-03,Hubballi,Assault,15.414276,75.15119,Hubballi Zone 4,SUS-00613,VIC-01144,Hubballi Cyber Crime Cell,Arrested,1,0,876.02,5.27,Low Risk,0.3314
CR-000095,2024-07-05,Kolar,Assault,13.219643,78.224011,Kolar Zone 4,SUS-00247,VIC-01051,Kolar Special Task Force,Closed,0,0,455.85,5.6,Low Risk,0.21
CR-000096,2025-04-05,Kolar,Cybercrime,13.190192,78.052617,Kolar Zone 5,SUS-00142,VIC-00294,Kolar West PS,Closed,0,0,476.28,5.39,Low Risk,0.3266
CR-000097,2025-01-13,Chamarajanagar,Burglary,11.961101,76.84436,Chamarajanagar Zone 4,SUS-00253,VIC-00289,Chamarajanagar Women PS,Closed,0,0,215.88,5.79,Low Risk,0.2914
CR-000098,2023-08-16,Mandya,Assault,12.557378,76.882805,Mandya Zone 2,SUS-00245,VIC-00010,Mandya Central PS,Active,0,0,357.11,5.42,Low Risk,0.3654
CR-000099,2025-01-10,Tumakuru,Drug Offense,13.331712,77.101549,Tumakuru Zone 5,SUS-00108,VIC-00185,Tumakuru Central PS,Active,0,0,274.26,5.09,Low Risk,0.3769
CR-000100,2025-04-02,Vijayapura,Robbery,16.945024,75.7295,Vijayapura Zone 2,SUS-00703,VIC-00797,Vijayapura West PS,Arrested,1,0,285.25,6.45,Low Risk,0.2749
CR-000101,2023-06-05,Mangaluru,Domestic Violence,12.891964,74.808313,Mangaluru Zone 1,SUS-00461,VIC-01200,Mangaluru Central PS,Arrested,1,0,1120.26,5.5,Low Risk,0.377
CR-000102,2024-10-03,Chitradurga,Theft,14.302993,76.497357,Chitradurga Zone 4,SUS-00547,VIC-00425,Chitradurga East PS,Closed,0,0,256.97,5.71,Low Risk,0.2059
CR-000103,2024-12-25,Chikkaballapur,Domestic Violence,13.539785,77.798718,Chikkaballapur Zone 2,SUS-00725,VIC-00173,Chikkaballapur Cyber Crime Cell,Arrested,1,0,376.13,5.62,Low Risk,0.2989
CR-000104,2023-05-16,Ramanagara,Theft,12.752063,77.20211,Ramanagara Zone 1,SUS-00261,VIC-00042,Ramanagara East PS,Arrested,1,1,346.34,4.5,Medium Risk,0.501
CR-000105,2023-05-29,Chikkamagaluru,Domestic Violence,13.296588,75.604204,Chikkamagaluru Zone 3,SUS-00274,VIC-00474,Chikkamagaluru Cyber Crime Cell,Active,0,0,241.33,4.94,Low Risk,0.3342
CR-000106,2024-10-25,Gadag,Assault,15.424496,75.627204,Gadag Zone 4,SUS-00262,VIC-00902,Gadag Special Task Force,Active,0,0,247.35,5.74,Low Risk,0.2398
CR-000107,2023-06-05,Mangaluru,Theft,12.995623,74.938416,Mangaluru Zone 1,SUS-00270,VIC-00539,Mangaluru Special Task Force,Closed,0,0,1085.9,5.82,Low Risk,0.2817
CR-000108,2025-05-10,Raichur,Domestic Violence,16.01153,77.232885,Raichur Zone 1,SUS-00763,VIC-00680,Raichur Traffic PS,Arrested,1,0,256.55,7.01,Low Risk,0.2941
CR-000109,2024-09-18,Kodagu,Domestic Violence,12.39146,75.709113,Kodagu Zone 2,SUS-00297,VIC-00910,Kodagu North PS,Closed,0,1,185.48,4.29,Medium Risk,0.4484
CR-000110,2023-12-06,Yadgir,Fraud,16.799297,77.173398,Yadgir Zone 2,SUS-00127,VIC-00002,Yadgir Central PS,Active,0,0,226.66,7.09,Low Risk,0.372
CR-000111,2024-07-24,Kalaburagi,Burglary,17.378737,76.823021,Kalaburagi Zone 2,SUS-00619,VIC-00259,Kalaburagi West PS,Active,0,1,416.21,6.17,High Risk,0.6577
CR-000112,2024-08-22,Kolar,Theft,13.254794,78.044338,Kolar Zone 4,SUS-00241,VIC-01033,Kolar North PS,Active,0,0,428.68,5.32,Low Risk,0.2299
CR-000113,2023-02-18,Hassan,Assault,13.189731,76.120001,Hassan Zone 4,SUS-00196,VIC-00120,Hassan Traffic PS,Arrested,1,0,299.61,4.71,Low Risk,0.3447
CR-000114,2024-06-30,Mangaluru,Theft,12.818471,74.961996,Mangaluru Zone 3,SUS-00368,VIC-00054,Mangaluru South PS,Arrested,1,0,1205.44,5.64,Low Risk,0.3618
CR-000115,2025-04-16,Raichur,Assault,16.252363,77.391595,Raichur Zone 2,SUS-00375,VIC-01166,Raichur Special Task Force,Closed,0,0,252.31,7.45,Low Risk,0.3494
CR-000116,2024-05-30,Davangere,Cybercrime,14.466527,75.967443,Davangere Zone 3,SUS-00636,VIC-00431,Davangere Women PS,Closed,0,0,326.87,5.25,Low Risk,0.359
CR-000117,2024-07-12,Raichur,Cybercrime,16.174628,77.201684,Raichur Zone 2,SUS-00641,VIC-00555,Raichur South PS,Closed,0,1,270.89,6.57,Medium Risk,0.5635
CR-000118,2023-10-10,Chikkamagaluru,Fraud,13.37806,75.768917,Chikkamagaluru Zone 5,SUS-00296,VIC-00258,Chikkamagaluru Traffic PS,Closed,0,0,193.25,4.57,Low Risk,0.3004
CR-000119,2023-08-16,Kodagu,Drug Offense,12.357515,75.791167,Kodagu Zone 5,SUS-00426,VIC-00471,Kodagu North PS,Arrested,1,0,185.26,4.45,Low Risk,0.1618
CR-000120,2023-01-05,Chamarajanagar,Fraud,11.87812,77.073306,Chamarajanagar Zone 2,SUS-00784,VIC-00596,Chamarajanagar South PS,Arrested,1,0,203.76,4.98,Low Risk,0.3179
CR-000121,2024-11-24,Dharwad,Theft,15.352788,75.005941,Dharwad Zone 3,SUS-00455,VIC-00930,Dharwad North PS,Active,0,1,394.39,5.57,Medium Risk,0.5045
CR-000122,2025-05-01,Udupi,Fraud,13.21485,74.689187,Udupi Zone 1,SUS-00193,VIC-00122,Udupi East PS,Closed,0,0,407.83,4.69,Low Risk,0.3493
CR-000123,2024-05-12,Yadgir,Cybercrime,16.571543,77.060287,Yadgir Zone 5,SUS-00196,VIC-00954,Yadgir South PS,Active,0,0,234.6,6.82,Low Risk,0.3122
CR-000124,2023-09-25,Yadgir,Assault,16.916898,77.123765,Yadgir Zone 4,SUS-00565,VIC-00802,Yadgir North PS,Active,0,0,241.47,6.95,Low Risk,0.3713
CR-000125,2023-02-05,Davangere,Robbery,14.541797,75.945235,Davangere Zone 1,SUS-00110,VIC-00117,Davangere Cyber Crime Cell,Closed,0,1,329.15,5.29,Medium Risk,0.4749
CR-000126,2024-12-14,Uttara Kannada,Cybercrime,14.94236,74.724384,Uttara Kannada Zone 1,SUS-00180,VIC-00518,Uttara Kannada East PS,Closed,0,0,198.65,5.59,Low Risk,0.3147
CR-000127,2025-05-26,Bengaluru Rural,Fraud,13.410488,77.601147,Bengaluru Rural Zone 2,SUS-00296,VIC-01124,Bengaluru Rural Traffic PS,Active,0,0,552.1,4.9,Low Risk,0.3705
CR-000128,2023-02-22,Yadgir,Theft,16.923036,77.177294,Yadgir Zone 4,SUS-00227,VIC-00535,Yadgir Special Task Force,Closed,0,0,242.51,7.58,Low Risk,0.3666
CR-000129,2023-10-01,Bengaluru Rural,Burglary,13.195325,77.605156,Bengaluru Rural Zone 3,SUS-00232,VIC-00997,Bengaluru Rural North PS,Arrested,1,0,592.44,4.69,Low Risk,0.3594
CR-000130,2025-04-12,Vijayanagara,Domestic Violence,15.333056,76.489163,Vijayanagara Zone 3,SUS-00290,VIC-00846,Vijayanagara Traffic PS,Arrested,1,0,314.25,6.35,Low Risk,0.3993
CR-000131,2023-12-07,Dharwad,Cybercrime,15.318732,75.015335,Dharwad Zone 1,SUS-00691,VIC-01117,Dharwad Rural PS,Closed,0,0,359.54,5.04,Low Risk,0.3373
CR-000132,2023-05-19,Kolar,Theft,12.986303,78.277985,Kolar Zone 1,SUS-00253,VIC-00284,Kolar Cyber Crime Cell,Arrested,1,0,430.34,5.42,Low Risk,0.3852
CR-000133,2023-02-25,Bengaluru Rural,Theft,13.179248,77.630574,Bengaluru Rural Zone 3,SUS-00747,VIC-00961,Bengaluru Rural Rural PS,Active,0,0,584.34,5.14,Low Risk,0.3247
CR-000134,2025-04-16,Mandya,Domestic Violence,12.631233,76.826927,Mandya Zone 2,SUS-00500,VIC-00925,Mandya North PS,Closed,0,0,357.93,5.04,Low Risk,0.3704
CR-000135,2023-10-10,Chitradurga,Theft,14.239605,76.325085,Chitradurga Zone 4,SUS-00494,VIC-01125,Chitradurga Traffic PS,Active,0,0,254.91,5.49,Low Risk,0.3328
CR-000136,2024-03-14,Belagavi,Theft,15.868656,74.491024,Belagavi Zone 5,SUS-00472,VIC-00507,Belagavi Special Task Force,Closed,0,0,637.65,6.48,Low Risk,0.3424
CR-000137,2023-07-21,Mysuru,Robbery,12.284278,76.662603,Mysuru Zone 4,SUS-00193,VIC-00073,Mysuru Rural PS,Closed,0,0,1018.53,4.77,Low Risk,0.3963
CR-000138,2024-11-20,Yadgir,Robbery,16.887375,77.130863,Yadgir Zone 4,SUS-00599,VIC-00807,Yadgir Special Task Force,Closed,0,0,265.65,7.18,Low Risk,0.3117
CR-000139,2024-01-10,Uttara Kannada,Cybercrime,14.872684,74.690121,Uttara Kannada Zone 2,SUS-00480,VIC-00158,Uttara Kannada East PS,Arrested,1,1,203.48,5.16,Medium Risk,0.4679
